Distance,Use intermediate result,Flow,Angle adjustment,Left tol1,Left tol2,Left tol3,Left tol4,Left tol5,Left DEM,Right tol1,Right tol2,Roght tol3,Right tol4,Right tol5,Right DEM
14.4,0,373.1392621,-7.119916358,5.2488,0.1,0.073205,1000,30,A,5.2488,0.1,0.073205,1000,30,A
14.5,0,373.1379671,0,7.2,0.9,0.055,1000,30,A,5.832,0.075,0.06655,1000,30,A
14.6,0,373.1346003,-2.886273962,7.2,0.9,0.055,1000,30,A,5.832,0.075,0.06655,1000,30,A
14.7,0,373.1335125,2.865657824,8,2,0.05,1000,30,A,8,2,0.05,1000,30,A
14.8,0,372.7795781,3.436977222,6.48,0.35,0.0605,1000,30,A,8,2,0.05,1000,30,A
14.9,0,372.7782832,-3.631782681,8,2,0.05,1000,30,A,8,2,0.05,1000,30,A
15,0,372.7765739,0,8,2,0.05,1000,30,A,8,2,0.05,1000,30,A
15.1,0,372.7745279,0,8,2,0.05,1000,30,A,8,2,0.05,1000,30,A
15.2,0,372.773466,0,8,2,0.05,1000,30,A,8,2,0.05,1000,30,A
15.3,0,372.7705653,0,6.48,0.35,0.0605,1000,30,A,8,2,0.05,1000,30,A
15.4,0,372.7626144,0,6.48,0.35,0.0605,1000,30,A,8,2,0.05,1000,30,A
15.5,0,372.7614748,0,8,2,0.05,1000,30,A,8.748,0.2,0.06655,2000,30,A
15.6,0,372.7598691,0,8,2,0.05,1000,30,A,8.748,0.2,0.06655,2000,30,A
15.7,0,364.545878,0,8,2,0.05,1000,30,A,7,0.2,0.05,2000,30,A
15.8,0,364.5447126,0,8,2,0.05,1000,30,A,8.748,0.2,0.06655,2000,30,A
15.9,0,364.5434694,0.597235195,8,2,0.05,1000,30,A,7.8732,0.1,0.073205,2000,30,A
16,0,364.5413975,4.911980454,8,2,0.05,1000,30,A,7.8732,0.1,0.073205,2000,30,A
16.1,0,364.5389112,-6.093458377,5.832,0.075,0.06655,1000,30,A,7.8732,0.1,0.073205,2000,30,A
16.2,0,364.5333429,0,7.2,0.9,0.055,1000,30,A,7.8732,0,0.073205,2000,30,A
16.3,0,364.5322552,0,8,2,0.05,1000,30,A,7,0.2,0.05,2000,30,A
16.4,0,364.5300797,0,8,2,0.05,1000,30,A,7.8732,0,0.073205,2000,30,A
16.5,0,364.528707,0,8,2,0.05,1000,30,A,7,0.2,0.05,2000,30,A
16.6,0,364.5221546,0,8,2,0.05,1000,30,A,8,2,0.05,1000,30,A
16.7,0,364.5206266,0,8,2,0.05,1000,30,A,8,2,0.05,1000,30,A
16.8,0,364.5173374,0,8,2,0.05,1000,30,A,8,2,0.05,1000,30,A
16.9,0,364.514877,-2.508941835,7.2,0.9,0.055,1000,30,A,8,2,0.05,1000,30,A
17,0,364.5120799,2.453788613,8,2,0.05,1000,30,A,8,2,0.05,1000,30,A
17.1,0,364.5103706,0,8,2,0.05,1000,30,A,8,2,0.05,1000,30,A
17.2,0,364.507185,0,8,2,0.05,1000,30,A,8,2,0.05,1000,30,A
17.3,0,364.5045693,0,8,2,0.05,1000,30,A,8,2,0.05,1000,30,A
17.4,0,340.9842255,0,8,2,0.05,1000,30,A,8,2,0.05,1000,30,A
17.5,0,340.9827493,0,8,2,0.05,1000,30,A,8,2,0.05,1000,30,A
17.6,0,340.9810141,0,8,2,0.05,1000,30,A,7.2,0.9,0.055,1000,30,A
17.7,0,340.9795119,0,7.2,0.9,0.055,2000,30,A,7.2,0.9,0.055,1000,30,A
17.8,0,340.9759897,0,7.2,0.9,0.055,1000,30,A,7.2,0.9,0.055,1000,30,A
